Person_Id,Company Name,Car,Style,Range(Km/Full Charge),Transmission,VehicleType,PriceRange,Capacity(Seats),BootSpace,BaseModel,TopModel,Charging Time(hrs),Color,Free Services,Delivery Days,Ratings(out of 5)
5319ee,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2320000,5,448 L,Excite,Exclusive,7,Red,Free Home Charging Unit,50,4.19
464b11,Tata Motor,Tata_Nexon_EV_Max,Compact SUV,437,Automatic,Electric,1924000,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,8,Blue,Free Charging Cable and Installation,16,4.03
bb7d56,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,10900000,5,656 L,S,Sportback 55,12,Silver,3 Years of Free Scheduled Maintenance,60,3.5
987ce6,Audi,Audi_E_Tron,Compact SUV,400,Automatic,Electric,10600000,5,660 L,Premium Plus,Prestige,9,Black,4 Years of Free Servicing and Maintenance,4,4.28
618a61,Tata Motor,Tata_Tigor_EV,Subcompact Sedan,306,Automatic,Electric,1260000,5,316 L,XE,XZ Plus Dual Tone,8,Grey,3 Years of Free Maintenance,28,3.5
53c5b8,Mercedes-Benz,Mercedes_Benz_EQC,Compact SUV,471,Automatic,Electric,10000000,5,500 L,EQC 400 4MATIC,EQC 400 4MATIC AMG Line,11,White,3 Years of Free Maintenance,3,4.71
d7e19e,Hyundai Motor India Ltd,Hyundai_Kona_Electric,Compact SUV,452,Automatic,Electric,2387500,5,332 L,Premium Dual Tone,HSE,9,Blue,3 Years of Free Roadside Assistance,23,1.19
ec6d49,BYD Auto,BYD_E6,Subcompact MPV,415,Automatic,Electric,2915000,5,580 L,STD,na,6,Grey,Free Software Updates,57,4.37
dd5dd1,Audi,Audi_E_Tron_GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,Quattro,na,9,Black,5 Years of Free Service Plan,60,3.64
24580,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,11200000,5,656 L,S,Sportback 55,12,Silver,3 Years of Free Scheduled Maintenance,59,1.67
865c97,Tata Motor,Tata_Tigor_EV,Subcompact Sedan,306,Automatic,Electric,1399000,5,316 L,XE,XZ Plus Dual Tone,8,Grey,3 Years of Free Maintenance,60,3.35
39653f,Tata Motor,Tata_Tigor_EV,Subcompact Sedan,306,Automatic,Electric,1427200,5,316 L,XE,XZ Plus Dual Tone,8,Grey,3 Years of Free Maintenance,30,2.6
3a00c3,Tata Motor,Tata_Tigor_EV,Subcompact Sedan,306,Automatic,Electric,1255500,5,316 L,XE,XZ Plus Dual Tone,8,Grey,3 Years of Free Maintenance,13,1.76
c997d3,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2205000,5,448 L,Excite,Exclusive,7,Black,Free Home Charging Unit,20,3.96
e62174,Hyundai Motor India Ltd,Hyundai_Kona_Electric,Compact SUV,452,Automatic,Electric,2398000,5,332 L,Premium Dual Tone,HSE,9,White,3 Years of Free Roadside Assistance,9,3.32
c0b757,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,11200000,5,656 L,S,Sportback 55,12,Red,3 Years of Free Scheduled Maintenance,21,1.28
00c1a3,BMW,BM_iX,Premium Fullsize SUV,425,Automatic,Electric,11600000,5,500 L,na,na,11,Black,Free Tire Rotation and Wheel Alignment,6,3.82
13ed75,Tata Motor,Tata_Nexon_EV,Compact SUV,312,Automatic,Electric,1560000,5,350 L,XM,Dark XZ Plus LUX,8,Silver,Free Charging Station Installation,48,2.93
946201,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2555000,5,448 L,Excite,Exclusive,7,White,Free Home Charging Unit,10,2.93
ea4379,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,11100000,5,656 L,S,Sportback 55,12,Black,3 Years of Free Scheduled Maintenance,35,2.74
99a9ea,Audi,Audi_E_Tron_GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,Quattro,na,9,Black,5 Years of Free Service Plan,54,1.46
c7e87e,Audi,Audi_E_Tron_GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,Quattro,na,9,Red,5 Years of Free Service Plan,27,1.21
340618,Audi,Audi_E_Tron_GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,Quattro,na,9,Red,5 Years of Free Service Plan,53,1.53
977679,BMW,BM_iX,Premium Fullsize SUV,425,Automatic,Electric,11600000,5,500 L,na,na,11,Black,Free Tire Rotation and Wheel Alignment,19,4.58
c01c47,BYD Auto,BYD_E6,Subcompact MPV,415,Automatic,Electric,2915000,5,580 L,STD,na,6,Grey,Free Software Updates,16,1.94
bf4476,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2215000,5,448 L,Excite,Exclusive,7,Blue,Free Home Charging Unit,36,3.43
185625,BMW,BM_iX,Premium Fullsize SUV,425,Automatic,Electric,11600000,5,500 L,na,na,11,Blue,Free Tire Rotation and Wheel Alignment,55,2.96
01d309,Tata Motor,Tata_Nexon_EV_Max,Compact SUV,437,Automatic,Electric,1775065,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,8,White,Free Charging Cable and Installation,37,3.79
ba78f1,Audi,Audi_E_Tron_GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,Quattro,na,9,Red,5 Years of Free Service Plan,52,4.15
02779f,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,11000000,5,656 L,S,Sportback 55,12,Red,3 Years of Free Scheduled Maintenance,8,1.55
92c2e7,Mercedes-Benz,Mercedes_Benz_EQC,Compact SUV,471,Automatic,Electric,10000000,5,500 L,EQC 400 4MATIC,EQC 400 4MATIC AMG Line,11,White,3 Years of Free Maintenance,58,4.23
9e509d,Audi,Audi_E_Tron,Compact SUV,400,Automatic,Electric,11500000,5,660 L,Premium Plus,Prestige,9,Black,4 Years of Free Servicing and Maintenance,18,4.55
a88cb9,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,10600000,5,656 L,S,Sportback 55,12,Silver,3 Years of Free Scheduled Maintenance,15,4.56
d4a21c,BYD Auto,BYD_E6,Subcompact MPV,415,Automatic,Electric,2915000,5,580 L,STD,na,6,White,Free Software Updates,28,3.72
3f83d1,Audi,Audi_E_Tron,Compact SUV,400,Automatic,Electric,11900000,5,660 L,Premium Plus,Prestige,9,Silver,4 Years of Free Servicing and Maintenance,47,2.13
f5da9d,Tata Motor,Tata_Tigor_EV,Subcompact Sedan,306,Automatic,Electric,1330700,5,316 L,XE,XZ Plus Dual Tone,8,Silver,3 Years of Free Maintenance,4,2.3
f40c4f,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,10900000,5,656 L,S,Sportback 55,12,Black,3 Years of Free Scheduled Maintenance,17,1.92
dae34b,Tata Motor,Tata_Nexon_EV_Max,Compact SUV,437,Automatic,Electric,1924000,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,8,Red,Free Charging Cable and Installation,4,4.83
01c06e,BMW,BM_iX,Premium Fullsize SUV,425,Automatic,Electric,11600000,5,500 L,na,na,11,Black,Free Tire Rotation and Wheel Alignment,11,3.87
9d8dbe,Tata Motor,Tata_Nexon_EV_Max,Compact SUV,437,Automatic,Electric,1923709,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,8,Blue,Free Charging Cable and Installation,12,3.79
dd27eb,Tata Motor,Tata_Nexon_EV_Max,Compact SUV,437,Automatic,Electric,1764000,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,8,Red,Free Charging Cable and Installation,10,2.17
bbd177,Audi,Audi_E_Tron_GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,Quattro,na,9,Blue,5 Years of Free Service Plan,8,2.05
c3b8b2,Audi,Audi_E_Tron,Compact SUV,400,Automatic,Electric,11100000,5,660 L,Premium Plus,Prestige,9,White,4 Years of Free Servicing and Maintenance,15,1.32
4a017c,Tata Motor,Tata_Nexon_EV_Max,Compact SUV,437,Automatic,Electric,1774000,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,8,Silver,Free Charging Cable and Installation,43,3.47
99ef58,Audi,Audi_E_Tron_GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,Quattro,na,9,White,5 Years of Free Service Plan,37,3.57
dba1f6,Porsche,Porsche_Taycan,Premium Sports Sedan,na,Automatic,Electric,15000000,4,366 L,na,na,9,White,Free Maintenance and Roadside Assistance,48,2.63
6bdae8,Tata Motor,Tata_Nexon_EV_Max,Compact SUV,437,Automatic,Electric,1764000,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,8,Silver,Free Charging Cable and Installation,57,3.24
c99629,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,10800000,5,656 L,S,Sportback 55,12,Blue,3 Years of Free Scheduled Maintenance,56,3.81
118913,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,11000000,5,656 L,S,Sportback 55,12,Blue,3 Years of Free Scheduled Maintenance,55,3.59
bc1c6c,Audi,Audi_E_Tron_GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,Quattro,na,9,Black,5 Years of Free Service Plan,36,1.39
0fdaba,BYD Auto,BYD_E6,Subcompact MPV,415,Automatic,Electric,2915000,5,580 L,STD,na,6,White,Free Software Updates,49,2.15
b09be1,BYD Auto,BYD_E6,Subcompact MPV,415,Automatic,Electric,2915000,5,580 L,STD,na,6,White,Free Software Updates,49,1.21
2ffd96,BMW,BM_iX,Premium Fullsize SUV,425,Automatic,Electric,11600000,5,500 L,na,na,11,Black,Free Tire Rotation and Wheel Alignment,40,1.7
0c0621,Porsche,Porsche_Taycan,Premium Sports Sedan,na,Automatic,Electric,15000000,4,366 L,na,na,9,Black,Free Maintenance and Roadside Assistance,35,3.55
b0eefd,BYD Auto,BYD_E6,Subcompact MPV,415,Automatic,Electric,2915000,5,580 L,STD,na,6,Red,Free Software Updates,60,4.28
fe57aa,BMW,BM_iX,Premium Fullsize SUV,425,Automatic,Electric,11600000,5,500 L,na,na,11,Black,Free Tire Rotation and Wheel Alignment,9,3.96
d10635,Tata Motor,Tata_Nexon_EV_Max,Compact SUV,437,Automatic,Electric,1923709,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,8,Red,Free Charging Cable and Installation,39,4.22
a0eb13,Porsche,Porsche_Taycan,Premium Sports Sedan,na,Automatic,Electric,15000000,4,366 L,na,na,9,White,Free Maintenance and Roadside Assistance,4,1.58
01617a,Audi,Audi_E_Tron_GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,Quattro,na,9,Black,5 Years of Free Service Plan,32,2.41
f6f8b7,BYD Auto,BYD_E6,Subcompact MPV,415,Automatic,Electric,2915000,5,580 L,STD,na,6,Grey,Free Software Updates,37,2.07
7c7716,Audi,Audi_E_Tron,Compact SUV,400,Automatic,Electric,11100000,5,660 L,Premium Plus,Prestige,9,Silver,4 Years of Free Servicing and Maintenance,8,4.79
ada581,Tata Motor,Tata_Nexon_EV_Max,Compact SUV,437,Automatic,Electric,1775065,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,8,White,Free Charging Cable and Installation,14,3.43
53c850,Audi,Audi_E_Tron_GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,Quattro,na,9,Black,5 Years of Free Service Plan,32,1.01
6ff9a2,Tata Motor,Tata_Nexon_EV,Compact SUV,312,Automatic,Electric,1600150,5,350 L,XM,Dark XZ Plus LUX,8,Grey,Free Charging Station Installation,25,4.65
351f7c,BYD Auto,BYD_E6,Subcompact MPV,415,Automatic,Electric,2915000,5,580 L,STD,na,6,Red,Free Software Updates,40,4.29
4ab9df,BYD Auto,BYD_E6,Subcompact MPV,415,Automatic,Electric,2915000,5,580 L,STD,na,6,White,Free Software Updates,44,4.32
804628,Hyundai Motor India Ltd,Hyundai_Kona_Electric,Compact SUV,452,Automatic,Electric,2387520,5,332 L,Premium Dual Tone,HSE,9,White,3 Years of Free Roadside Assistance,53,4.7
31b57e,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,10800000,5,656 L,S,Sportback 55,12,Silver,3 Years of Free Scheduled Maintenance,38,4.48
93d3bc,Audi,Audi_E_Tron_GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,Quattro,na,9,Black,5 Years of Free Service Plan,44,2.26
507b8a,Porsche,Porsche_Taycan,Premium Sports Sedan,na,Automatic,Electric,15000000,4,366 L,na,na,9,Black,Free Maintenance and Roadside Assistance,4,3.63
967275,Audi,Audi_E_Tron,Compact SUV,400,Automatic,Electric,10600000,5,660 L,Premium Plus,Prestige,9,White,4 Years of Free Servicing and Maintenance,38,3.29
a7d49b,Porsche,Porsche_Taycan,Premium Sports Sedan,na,Automatic,Electric,15000000,4,366 L,na,na,9,Red,Free Maintenance and Roadside Assistance,18,4.87
94633e,Audi,Audi_E_Tron,Compact SUV,400,Automatic,Electric,10800000,5,660 L,Premium Plus,Prestige,9,Black,4 Years of Free Servicing and Maintenance,57,1.07
bfebbf,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2205000,5,448 L,Excite,Exclusive,7,Red,Free Home Charging Unit,22,4.53
fe5f93,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2205000,5,448 L,Excite,Exclusive,7,White,Free Home Charging Unit,29,4.58
1a790e,Tata Motor,Tata_Nexon_EV,Compact SUV,312,Automatic,Electric,1699999,5,350 L,XM,Dark XZ Plus LUX,8,White,Free Charging Station Installation,12,3.52
76494c,Mercedes-Benz,Mercedes_Benz_EQC,Compact SUV,471,Automatic,Electric,10000000,5,500 L,EQC 400 4MATIC,EQC 400 4MATIC AMG Line,11,White,3 Years of Free Maintenance,24,3.93
062bd2,Tata Motor,Tata_Nexon_EV,Compact SUV,312,Automatic,Electric,1800541,5,350 L,XM,Dark XZ Plus LUX,8,White,Free Charging Station Installation,56,4.66
30e7ce,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2320000,5,448 L,Excite,Exclusive,7,Black,Free Home Charging Unit,42,3.23
a79ce9,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2330000,5,448 L,Excite,Exclusive,7,Red,Free Home Charging Unit,38,1.9
1d1c8e,Mercedes-Benz,Mercedes_Benz_EQC,Compact SUV,471,Automatic,Electric,10000000,5,500 L,EQC 400 4MATIC,EQC 400 4MATIC AMG Line,11,Grey,3 Years of Free Maintenance,34,3.96
161ad4,Audi,Audi_E_Tron,Compact SUV,400,Automatic,Electric,10100000,5,660 L,Premium Plus,Prestige,9,Black,4 Years of Free Servicing and Maintenance,31,3.3
a024f4,Hyundai Motor India Ltd,Hyundai_Kona_Electric,Compact SUV,452,Automatic,Electric,2387900,5,332 L,Premium Dual Tone,HSE,9,Grey,3 Years of Free Roadside Assistance,9,2.99
1ee444,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,11000000,5,656 L,S,Sportback 55,12,Silver,3 Years of Free Scheduled Maintenance,31,4.28
a9b7c5,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2555000,5,448 L,Excite,Exclusive,7,Black,Free Home Charging Unit,33,4.29
277aa0,Mercedes-Benz,Mercedes_Benz_EQC,Compact SUV,471,Automatic,Electric,10000000,5,500 L,EQC 400 4MATIC,EQC 400 4MATIC AMG Line,11,Grey,3 Years of Free Maintenance,59,1.84
2f2d0d,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,11200000,5,656 L,S,Sportback 55,12,Red,3 Years of Free Scheduled Maintenance,21,4.68
ac9e14,BYD Auto,BYD_E6,Subcompact MPV,415,Automatic,Electric,2915000,5,580 L,STD,na,6,Grey,Free Software Updates,34,2.32
a03f97,Audi,Audi_E_Tron,Compact SUV,400,Automatic,Electric,10800000,5,660 L,Premium Plus,Prestige,9,White,4 Years of Free Servicing and Maintenance,36,4.63
8e3246,Tata Motor,Tata_Nexon_EV,Compact SUV,312,Automatic,Electric,1399000,5,350 L,XM,Dark XZ Plus LUX,8,Blue,Free Charging Station Installation,19,4.76
1296bc,Tata Motor,Tata_Nexon_EV,Compact SUV,312,Automatic,Electric,1427900,5,350 L,XM,Dark XZ Plus LUX,8,Grey,Free Charging Station Installation,14,3.97
48b491,Porsche,Porsche_Taycan,Premium Sports Sedan,na,Automatic,Electric,15000000,4,366 L,na,na,9,Black,Free Maintenance and Roadside Assistance,14,2.24
c16028,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2330000,5,448 L,Excite,Exclusive,7,Black,Free Home Charging Unit,14,1.25
9b497c,Hyundai Motor India Ltd,Hyundai_Kona_Electric,Compact SUV,452,Automatic,Electric,2379000,5,332 L,Premium Dual Tone,HSE,9,White,3 Years of Free Roadside Assistance,5,3.11
28e7bf,BYD Auto,BYD_E6,Subcompact MPV,415,Automatic,Electric,2915000,5,580 L,STD,na,6,White,Free Software Updates,47,2.91
57fe8f,BYD Auto,BYD_E6,Subcompact MPV,415,Automatic,Electric,2915000,5,580 L,STD,na,6,Grey,Free Software Updates,22,2.53
e1453a,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2199000,5,448 L,Excite,Exclusive,7,Blue,Free Home Charging Unit,52,3.69
25981b,Audi,Audi_E_Tron,Compact SUV,400,Automatic,Electric,11100000,5,660 L,Premium Plus,Prestige,9,Silver,4 Years of Free Servicing and Maintenance,8,3.02
b02142,Audi,Audi_E_Tron_GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,Quattro,na,9,White,5 Years of Free Service Plan,9,4.07
5a122d,Audi,Audi_E_Tron_GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,Quattro,na,9,Black,5 Years of Free Service Plan,57,3.22
327866,BYD Auto,BYD_E6,Subcompact MPV,415,Automatic,Electric,2915000,5,580 L,STD,na,6,Grey,Free Software Updates,29,2.83
ec3d78,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2215000,5,448 L,Excite,Exclusive,7,Red,Free Home Charging Unit,15,2.29
5235a1,BMW,BM_iX,Premium Fullsize SUV,425,Automatic,Electric,11600000,5,500 L,na,na,11,Blue,Free Tire Rotation and Wheel Alignment,45,1.71
1c7845,BMW,BM_iX,Premium Fullsize SUV,425,Automatic,Electric,11600000,5,500 L,na,na,11,Blue,Free Tire Rotation and Wheel Alignment,7,1.81
f7650a,Tata Motor,Tata_Nexon_EV_Max,Compact SUV,437,Automatic,Electric,1923709,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,8,Silver,Free Charging Cable and Installation,19,4.96
80c8be,Mercedes-Benz,Mercedes_Benz_EQC,Compact SUV,471,Automatic,Electric,10000000,5,500 L,EQC 400 4MATIC,EQC 400 4MATIC AMG Line,11,White,3 Years of Free Maintenance,3,3.18
226112,Audi,Audi_E_Tron_GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,Quattro,na,9,Blue,5 Years of Free Service Plan,51,2.25
c7f505,Audi,Audi_E_Tron_GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,Quattro,na,9,Red,5 Years of Free Service Plan,41,3.29
33953,Mercedes-Benz,Mercedes_Benz_EQC,Compact SUV,471,Automatic,Electric,10000000,5,500 L,EQC 400 4MATIC,EQC 400 4MATIC AMG Line,11,White,3 Years of Free Maintenance,34,4.39
a6c777,BMW,BM_iX,Premium Fullsize SUV,425,Automatic,Electric,11600000,5,500 L,na,na,11,Blue,Free Tire Rotation and Wheel Alignment,33,2.73
6b37f1,Porsche,Porsche_Taycan,Premium Sports Sedan,na,Automatic,Electric,15000000,4,366 L,na,na,9,Red,Free Maintenance and Roadside Assistance,4,3.56
8a52c8,BYD Auto,BYD_E6,Subcompact MPV,415,Automatic,Electric,2915000,5,580 L,STD,na,6,Red,Free Software Updates,48,4.86
8d1984,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2555000,5,448 L,Excite,Exclusive,7,Black,Free Home Charging Unit,21,4.88
6ffa49,BMW,BM_iX,Premium Fullsize SUV,425,Automatic,Electric,11600000,5,500 L,na,na,11,Blue,Free Tire Rotation and Wheel Alignment,21,2.57
2abc19,Tata Motor,Tata_Nexon_EV_Max,Compact SUV,437,Automatic,Electric,1924000,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,8,Blue,Free Charging Cable and Installation,42,2.97
6404ce,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2555000,5,448 L,Excite,Exclusive,7,Red,Free Home Charging Unit,56,4.42
876d45,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2205000,5,448 L,Excite,Exclusive,7,Red,Free Home Charging Unit,32,2.98
00cec4,Tata Motor,Tata_Tigor_EV,Subcompact Sedan,306,Automatic,Electric,1300541,5,316 L,XE,XZ Plus Dual Tone,8,Grey,3 Years of Free Maintenance,28,4.32
24cd22,Tata Motor,Tata_Tigor_EV,Subcompact Sedan,306,Automatic,Electric,1427200,5,316 L,XE,XZ Plus Dual Tone,8,White,3 Years of Free Maintenance,55,4.52
d73c1e,Tata Motor,Tata_Nexon_EV,Compact SUV,312,Automatic,Electric,1399000,5,350 L,XM,Dark XZ Plus LUX,8,White,Free Charging Station Installation,28,2.27
73fffe,Hyundai Motor India Ltd,Hyundai_Kona_Electric,Compact SUV,452,Automatic,Electric,2381000,5,332 L,Premium Dual Tone,HSE,9,Silver,3 Years of Free Roadside Assistance,42,3.16
b670e4,Hyundai Motor India Ltd,Hyundai_Kona_Electric,Compact SUV,452,Automatic,Electric,2398000,5,332 L,Premium Dual Tone,HSE,9,Grey,3 Years of Free Roadside Assistance,28,4.08
a7e72f,Tata Motor,Tata_Tigor_EV,Subcompact Sedan,306,Automatic,Electric,1427200,5,316 L,XE,XZ Plus Dual Tone,8,Silver,3 Years of Free Maintenance,4,4.45
7fc01e,Tata Motor,Tata_Nexon_EV_Max,Compact SUV,437,Automatic,Electric,1775065,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,8,Silver,Free Charging Cable and Installation,32,2.19
39df46,Tata Motor,Tata_Nexon_EV,Compact SUV,312,Automatic,Electric,1555500,5,350 L,XM,Dark XZ Plus LUX,8,Silver,Free Charging Station Installation,53,3.4
c48d86,Tata Motor,Tata_Tigor_EV,Subcompact Sedan,306,Automatic,Electric,1299999,5,316 L,XE,XZ Plus Dual Tone,8,Grey,3 Years of Free Maintenance,48,3.64
d7ee5c,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,10600000,5,656 L,S,Sportback 55,12,Black,3 Years of Free Scheduled Maintenance,58,3.07
036d91,Tata Motor,Tata_Nexon_EV_Max,Compact SUV,437,Automatic,Electric,1775065,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,8,Red,Free Charging Cable and Installation,8,3.82
a6ca48,BYD Auto,BYD_E6,Subcompact MPV,415,Automatic,Electric,2915000,5,580 L,STD,na,6,White,Free Software Updates,18,3.18
1f86d0,Hyundai Motor India Ltd,Hyundai_Kona_Electric,Compact SUV,452,Automatic,Electric,2387900,5,332 L,Premium Dual Tone,HSE,9,Silver,3 Years of Free Roadside Assistance,51,4.44
94d722,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,10800000,5,656 L,S,Sportback 55,12,Black,3 Years of Free Scheduled Maintenance,10,4.82
fe86bc,BMW,BM_iX,Premium Fullsize SUV,425,Automatic,Electric,11600000,5,500 L,na,na,11,Black,Free Tire Rotation and Wheel Alignment,27,4.05
ecd8f5,Tata Motor,Tata_Tigor_EV,Subcompact Sedan,306,Automatic,Electric,1399000,5,316 L,XE,XZ Plus Dual Tone,8,Grey,3 Years of Free Maintenance,40,4.18
1fd2cc,Audi,Audi_E_Tron,Compact SUV,400,Automatic,Electric,11900000,5,660 L,Premium Plus,Prestige,9,Black,4 Years of Free Servicing and Maintenance,30,2.35
521ffe,Hyundai Motor India Ltd,Hyundai_Kona_Electric,Compact SUV,452,Automatic,Electric,2386900,5,332 L,Premium Dual Tone,HSE,9,White,3 Years of Free Roadside Assistance,25,3.06
96b1f4,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2320000,5,448 L,Excite,Exclusive,7,Red,Free Home Charging Unit,6,4.39
88209c,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2210000,5,448 L,Excite,Exclusive,7,Blue,Free Home Charging Unit,20,4.37
2c13cc,Audi,Audi_E_Tron,Compact SUV,400,Automatic,Electric,10100000,5,660 L,Premium Plus,Prestige,9,White,4 Years of Free Servicing and Maintenance,52,3.41
673ec1,Tata Motor,Tata_Nexon_EV,Compact SUV,312,Automatic,Electric,1740000,5,350 L,XM,Dark XZ Plus LUX,8,Grey,Free Charging Station Installation,15,2.08
b133d4,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2199000,5,448 L,Excite,Exclusive,7,Red,Free Home Charging Unit,8,4.13
f9df53,BYD Auto,BYD_E6,Subcompact MPV,415,Automatic,Electric,2915000,5,580 L,STD,na,6,White,Free Software Updates,45,4.8
3daa5f,Audi,Audi_E_Tron_GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,Quattro,na,9,Blue,5 Years of Free Service Plan,11,1.2
e79e5d,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2245000,5,448 L,Excite,Exclusive,7,Blue,Free Home Charging Unit,28,2.99
868335,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,11100000,5,656 L,S,Sportback 55,12,Red,3 Years of Free Scheduled Maintenance,9,1.4
3ec7c3,Tata Motor,Tata_Nexon_EV_Max,Compact SUV,437,Automatic,Electric,1764000,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,8,White,Free Charging Cable and Installation,20,2.92
fe85f8,BMW,BM_iX,Premium Fullsize SUV,425,Automatic,Electric,11600000,5,500 L,na,na,11,Blue,Free Tire Rotation and Wheel Alignment,49,2.65
153a0c,Tata Motor,Tata_Tigor_EV,Subcompact Sedan,306,Automatic,Electric,1240000,5,316 L,XE,XZ Plus Dual Tone,8,White,3 Years of Free Maintenance,50,3.14
f1419b,BMW,BM_iX,Premium Fullsize SUV,425,Automatic,Electric,11600000,5,500 L,na,na,11,Black,Free Tire Rotation and Wheel Alignment,22,2.62
ada772,Audi,Audi_E_Tron_GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,Quattro,na,9,Blue,5 Years of Free Service Plan,52,1.02
1e9638,Tata Motor,Tata_Tigor_EV,Subcompact Sedan,306,Automatic,Electric,1240000,5,316 L,XE,XZ Plus Dual Tone,8,Grey,3 Years of Free Maintenance,9,2.7
2fb119,BYD Auto,BYD_E6,Subcompact MPV,415,Automatic,Electric,2915000,5,580 L,STD,na,6,Grey,Free Software Updates,57,3.06
a4546d,Mercedes-Benz,Mercedes_Benz_EQC,Compact SUV,471,Automatic,Electric,10000000,5,500 L,EQC 400 4MATIC,EQC 400 4MATIC AMG Line,11,Silver,3 Years of Free Maintenance,41,4.17
c22457,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2245000,5,448 L,Excite,Exclusive,7,Red,Free Home Charging Unit,53,3.39
0b8585,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,11100000,5,656 L,S,Sportback 55,12,Blue,3 Years of Free Scheduled Maintenance,18,3.51
